[2023-04-03 at 00:03:02] | skeletonization is done.
[2023-04-03 at 00:03:02] | Computing centerline...
[2023-04-03 at 00:03:03] | centerline computation is done.
[2023-04-03 at 00:03:03] | Resolving links and nodes...
[2023-04-03 at 00:03:05] | links and nodes have been resolved.
[2023-04-03 at 00:03:05] | Computing distance transform...
[2023-04-03 at 00:03:05] | distance transform done.
[2023-04-03 at 00:03:05] | Computing link widths and lengths...
[2023-04-03 at 00:03:05] | link widths and lengths computed.
[2023-04-03 at 00:03:05] | Generating mesh...
[2023-04-03 at 00:03:05] | mesh generation is done.
[2023-04-03 at 00:04:52] | ---------- New Run ----------
[2023-04-03 at 00:04:52] | Skeletonizing mask...
[2023-04-03 at 00:04:52] | skeletonization is done.
[2023-04-03 at 00:04:52] | Computing centerline...
[2023-04-03 at 00:04:53] | centerline computation is done.
[2023-04-03 at 00:04:53] | Resolving links and nodes...
[2023-04-03 at 00:04:55] | links and nodes have been resolved.
[2023-04-03 at 00:04:55] | Computing distance transform...
[2023-04-03 at 00:04:56] | distance transform done.
[2023-04-03 at 00:04:56] | Computing link widths and lengths...
[2023-04-03 at 00:04:56] | link widths and lengths computed.
[2023-04-03 at 00:04:56] | Generating mesh...
[2023-04-03 at 00:04:56] | mesh generation is done.
[2023-04-03 at 00:05:32] | ---------- New Run ----------
[2023-04-03 at 00:05:32] | Skeletonizing mask...
[2023-04-03 at 00:05:33] | skeletonization is done.
[2023-04-03 at 00:05:33] | Computing centerline...
[2023-04-03 at 00:05:34] | centerline computation is done.
[2023-04-03 at 00:05:34] | Resolving links and nodes...
[2023-04-03 at 00:05:36] | links and nodes have been resolved.
[2023-04-03 at 00:05:36] | Computing distance transform...
[2023-04-03 at 00:05:36] | distance transform done.
[2023-04-03 at 00:05:36] | Computing link widths and lengths...
[2023-04-03 at 00:05:36] | link widths and lengths computed.
[2023-04-03 at 00:05:36] | Generating mesh...
[2023-04-03 at 00:05:36] | mesh generation is done.
[2023-04-03 at 00:08:32] | ---------- New Run ----------
[2023-04-03 at 00:08:32] | Skeletonizing mask...
[2023-04-03 at 00:08:33] | skeletonization is done.
[2023-04-03 at 00:08:33] | Computing centerline...
[2023-04-03 at 00:08:33] | centerline computation is done.
[2023-04-03 at 00:08:33] | Resolving links and nodes...
[2023-04-03 at 00:08:35] | links and nodes have been resolved.
[2023-04-03 at 00:08:35] | Computing distance transform...
[2023-04-03 at 00:08:35] | distance transform done.
[2023-04-03 at 00:08:35] | Computing link widths and lengths...
[2023-04-03 at 00:08:35] | link widths and lengths computed.
[2023-04-03 at 00:08:35] | Generating mesh...
[2023-04-03 at 00:08:36] | mesh generation is done.
[2023-04-03 at 00:31:33] | ---------- New Run ----------
[2023-04-03 at 00:31:33] | Skeletonizing mask...
[2023-04-03 at 00:31:33] | skeletonization is done.
[2023-04-03 at 00:31:33] | Computing centerline...
[2023-04-03 at 00:31:34] | centerline computation is done.
[2023-04-03 at 00:31:34] | Resolving links and nodes...
[2023-04-03 at 00:31:36] | links and nodes have been resolved.
[2023-04-03 at 00:31:36] | Computing distance transform...
[2023-04-03 at 00:31:36] | distance transform done.
[2023-04-03 at 00:31:36] | Computing link widths and lengths...
[2023-04-03 at 00:31:36] | link widths and lengths computed.
[2023-04-03 at 00:31:36] | Generating mesh...
[2023-04-03 at 00:31:37] | mesh generation is done.
[2023-04-03 at 08:47:14] | ---------- New Run ----------
[2023-04-03 at 08:47:14] | Skeletonizing mask...
[2023-04-03 at 08:47:14] | skeletonization is done.
[2023-04-03 at 08:47:14] | Computing centerline...
[2023-04-03 at 08:47:14] | centerline computation is done.
[2023-04-03 at 08:47:14] | Resolving links and nodes...
[2023-04-03 at 08:47:16] | links and nodes have been resolved.
[2023-04-03 at 08:47:16] | Computing distance transform...
[2023-04-03 at 08:47:16] | distance transform done.
[2023-04-03 at 08:47:16] | Computing link widths and lengths...
[2023-04-03 at 08:47:16] | link widths and lengths computed.
[2023-04-03 at 08:47:16] | Generating mesh...
[2023-04-03 at 08:47:17] | mesh generation is done.
[2023-04-03 at 16:11:47] | ---------- New Run ----------
[2023-04-03 at 16:11:47] | Skeletonizing mask...
[2023-04-03 at 16:11:47] | skeletonization is done.
[2023-04-03 at 16:11:47] | Computing centerline...
[2023-04-03 at 16:11:48] | centerline computation is done.
[2023-04-03 at 16:11:48] | Resolving links and nodes...
[2023-04-03 at 16:11:50] | links and nodes have been resolved.
[2023-04-03 at 16:11:50] | Computing distance transform...
[2023-04-03 at 16:11:50] | distance transform done.
[2023-04-03 at 16:11:50] | Computing link widths and lengths...
[2023-04-03 at 16:11:50] | link widths and lengths computed.
[2023-04-03 at 16:11:50] | Generating mesh...
[2023-04-03 at 16:11:50] | mesh generation is done.
[2023-04-03 at 16:12:47] | ---------- New Run ----------
[2023-04-03 at 16:12:47] | Skeletonizing mask...
[2023-04-03 at 16:12:47] | skeletonization is done.
[2023-04-03 at 16:12:47] | Computing centerline...
[2023-04-03 at 16:12:48] | centerline computation is done.
[2023-04-03 at 16:12:48] | Resolving links and nodes...
[2023-04-03 at 16:12:50] | links and nodes have been resolved.
[2023-04-03 at 16:12:50] | Computing distance transform...
[2023-04-03 at 16:12:50] | distance transform done.
[2023-04-03 at 16:12:50] | Computing link widths and lengths...
[2023-04-03 at 16:12:50] | link widths and lengths computed.
[2023-04-03 at 16:12:50] | Generating mesh...
[2023-04-03 at 16:12:50] | mesh generation is done.
[2023-04-03 at 16:13:19] | ---------- New Run ----------
[2023-04-03 at 16:13:19] | Skeletonizing mask...
[2023-04-03 at 16:13:20] | skeletonization is done.
[2023-04-03 at 16:13:20] | Computing centerline...
[2023-04-03 at 16:13:20] | centerline computation is done.
[2023-04-03 at 16:13:20] | Resolving links and nodes...
[2023-04-03 at 16:13:22] | links and nodes have been resolved.
[2023-04-03 at 16:13:22] | Computing distance transform...
[2023-04-03 at 16:13:22] | distance transform done.
[2023-04-03 at 16:13:22] | Computing link widths and lengths...
[2023-04-03 at 16:13:22] | link widths and lengths computed.
[2023-04-03 at 16:13:22] | Generating mesh...
[2023-04-03 at 16:13:22] | mesh generation is done.
[2023-04-03 at 16:14:43] | ---------- New Run ----------
[2023-04-03 at 16:14:43] | Skeletonizing mask...
[2023-04-03 at 16:14:43] | skeletonization is done.
[2023-04-03 at 16:14:43] | Computing centerline...
[2023-04-03 at 16:14:44] | centerline computation is done.
[2023-04-03 at 16:14:44] | Resolving links and nodes...
[2023-04-03 at 16:14:46] | links and nodes have been resolved.
[2023-04-03 at 16:14:46] | Computing distance transform...
[2023-04-03 at 16:14:46] | distance transform done.
[2023-04-03 at 16:14:46] | Computing link widths and lengths...
[2023-04-03 at 16:14:46] | link widths and lengths computed.
[2023-04-03 at 16:14:46] | Generating mesh...
[2023-04-03 at 16:14:46] | mesh generation is done.
[2023-04-03 at 16:32:59] | ---------- New Run ----------
[2023-04-03 at 16:32:59] | Skeletonizing mask...
[2023-04-03 at 16:33:00] | skeletonization is done.
[2023-04-03 at 16:33:00] | Computing centerline...
[2023-04-03 at 16:33:00] | centerline computation is done.
[2023-04-03 at 16:33:00] | Resolving links and nodes...
[2023-04-03 at 16:33:02] | links and nodes have been resolved.
[2023-04-03 at 16:33:02] | Computing distance transform...
[2023-04-03 at 16:33:02] | distance transform done.
[2023-04-03 at 16:33:02] | Computing link widths and lengths...
[2023-04-03 at 16:33:02] | link widths and lengths computed.
[2023-04-03 at 16:33:02] | Generating mesh...
[2023-04-03 at 16:33:02] | mesh generation is done.
